Time,T1,T2,T3,T4
10,21.175331,19.999956,19.999956,19.705917
20,26.235483,19.999956,19.999935,18.440657
30,31.885841,19.999956,19.999847,17.027859
40,36.836563,20.000654,19.999447,15.789989
50,41.001442,20.00566,19.997963,14.74859
60,44.507156,20.022099,19.993626,13.871991
70,47.48854,20.059086,19.984135,13.126482
80,50.054688,20.125145,19.967384,12.484797
90,52.289074,20.22651,19.94184,11.926047
100,54.255013,20.366592,19.906647,11.434426
110,56.00085,20.546339,19.861649,10.997845
120,57.56392,20.76477,19.80722,10.606951
130,58.973503,21.019552,19.744095,10.254435
140,60.252823,21.307547,19.673279,9.934486
150,61.42054,21.625252,19.595928,9.642444
160,62.49183,21.969006,19.51325,9.374511
170,63.479168,22.335217,19.426504,9.127574
180,64.39285,22.720476,19.336878,8.899055
190,65.241585,23.12158,19.24552,8.6867895
200,66.03266,23.535645,19.1535,8.488953
210,66.7723,23.960068,19.061792,8.3040085
220,67.46578,24.392466,18.971268,8.130643
230,68.117676,24.83083,18.882698,7.9677167
240,68.73197,25.273314,18.796776,7.814263
250,69.31214,25.718325,18.714077,7.6694274
260,69.86124,26.164455,18.635105,7.532481
270,70.38186,26.610561,18.560278,7.402787
280,70.87638,27.05558,18.489935,7.2797847
290,71.34689,27.498594,18.424337,7.162992
300,71.79525,27.938871,18.363728,7.0519686
310,72.22313,28.375784,18.30823,6.9463406
320,72.631996,28.808762,18.257982,6.8457747
330,73.02322,29.23736,18.213037,6.74997
340,73.39797,29.661226,18.173433,6.658668
350,73.75739,30.080023,18.13917,6.571628
360,74.10244,30.493492,18.110214,6.488646
370,74.43401,30.901455,18.086517,6.409533
380,74.75295,31.303755,18.068016,6.334113
390,75.060036,31.700277,18.054611,6.262237
400,75.35592,32.090935,18.04621,6.1937637
410,75.64121,32.475643,18.042686,6.128566
420,75.91653,32.85443,18.043932,6.066523
430,76.182396,33.227253,18.049824,6.007527
440,76.43933,33.59413,18.060217,5.9514804
450,76.68778,33.955086,18.074976,5.8982887
460,76.92817,34.310165,18.093962,5.8478594
470,77.16092,34.65941,18.117027,5.8001103
480,77.38636,35.00286,18.14404,5.754964
490,77.60487,35.340607,18.174847,5.712338
500,77.81676,35.672737,18.20931,5.6721697
510,78.022316,35.99931,18.24729,5.634383
520,78.22184,36.320427,18.28865,5.5989137
530,78.41558,36.63618,18.333244,5.5656953
540,78.60377,36.94666,18.380943,5.5346637
550,78.78667,37.251915,18.431625,5.505759
560,78.96452,37.552086,18.485144,5.478924
570,79.137535,37.847263,18.541395,5.454102
580,79.30587,38.137524,18.600246,5.4312296
590,79.4697,38.422974,18.661577,5.410253
600,79.629234,38.703716,18.725266,5.3911185
610,79.78466,38.97984,18.791208,5.373773
620,79.93603,39.25145,18.859303,5.3581657
630,80.08363,39.518627,18.929424,5.3442397
640,80.227516,39.781456,19.001486,5.331949
650,80.36781,40.040077,19.075392,5.321244
660,80.50474,40.29453,19.151043,5.312078
670,80.638374,40.544903,19.228348,5.304396
680,80.76878,40.791306,19.307224,5.298156
690,80.89611,41.03382,19.38757,5.293309
700,81.02043,41.27251,19.469309,5.2898164
710,81.141914,41.50751,19.552351,5.287631
720,81.260635,41.73885,19.636646,5.2867064
730,81.37666,41.966625,19.722097,5.2870054
740,81.49014,42.190926,19.80864,5.2884808
750,81.60111,42.41182,19.896212,5.291097
760,81.70959,42.629364,19.984732,5.294813
770,81.81578,42.843662,20.07415,5.299589
780,81.91961,43.05475,20.1644,5.3053875
790,82.021324,43.262707,20.255423,5.3121734
800,82.120895,43.46763,20.347168,5.319909
810,82.218376,43.66955,20.439564,5.328557
820,82.31384,43.868546,20.53258,5.3380857
830,82.40738,44.064667,20.626158,5.3484645
840,82.49906,44.257988,20.720224,5.3596525
850,82.58888,44.448605,20.814768,5.3716235
860,82.67693,44.63651,20.909729,5.384346
870,82.76327,44.821774,21.00506,5.3977885
880,82.84792,45.004467,21.100729,5.411922
890,82.93092,45.18467,21.19673,5.4267187
900,83.01243,45.362408,21.29292,5.4421453
910,83.09233,45.53771,21.389345,5.4581823
920,83.17078,45.710632,21.485968,5.474798
930,83.24774,45.881275,21.582737,5.4919705
940,83.32333,46.04962,21.679619,5.509678
950,83.39756,46.215748,21.776596,5.527884
960,83.47047,46.379745,21.873627,5.546573
970,83.54204,46.541534,21.970686,5.5657325
980,83.612335,46.70124,22.067745,5.585322
990,83.68147,46.85891,22.164768,5.605328
1000,83.74939,47.014553,22.26174,5.625733
1010,83.816124,47.168232,22.358644,5.6465087
1020,83.88168,47.320023,22.45544,5.667642
1030,83.94622,47.469917,22.552126,5.6891136
1040,84.009674,47.61789,22.648663,5.7109046
1050,84.07204,47.764027,22.74504,5.732996
1060,84.1334,47.90838,22.841242,5.755375
1070,84.193756,48.050995,22.937265,5.7780175
1080,84.25315,48.191875,23.033052,5.800913
1090,84.311615,48.331047,23.128597,5.824044
1100,84.36915,48.468582,23.223892,5.8473954
1110,84.42578,48.604523,23.318926,5.8709536
1120,84.48154,48.7388,23.413677,5.894706
1130,84.53644,48.87152,23.508135,5.9186344
1140,84.59058,49.002686,23.60228,5.9427295
1150,84.64386,49.132317,23.696114,5.96698
1160,84.69628,49.26048,23.789604,5.99137
1170,84.747894,49.387173,23.88274,6.0158916
1180,84.79883,49.512417,23.975536,6.0405293
1190,84.84895,49.636242,24.067986,6.0652733
1200,84.89835,49.758724,24.160042,6.0901155
1210,84.94706,49.879833,24.251707,6.115043
1220,84.99512,49.99954,24.342981,6.140048
1230,85.04245,50.117947,24.43385,6.1651187
1240,85.089195,50.23504,24.524311,6.19025
1250,85.135254,50.35088,24.614347,6.215435
1260,85.18068,50.465427,24.703966,6.2406535
1270,85.2255,50.57875,24.793152,6.265903
1280,85.269684,50.690834,24.881908,6.2911777
1290,85.31324,50.801758,24.97021,6.3164716
1300,85.35624,50.911472,25.058054,6.3417726
1310,85.39866,51.02001,25.145456,6.367077
1320,85.44053,51.127445,25.232407,6.3923774
1330,85.48187,51.233753,25.318865,6.4176655
1340,85.5227,51.338936,25.404871,6.442946
1350,85.56297,51.443012,25.490402,6.4682007
1360,85.60271,51.546017,25.575453,6.4934273
1370,85.64195,51.647987,25.66004,6.5186195
1380,85.68067,51.748886,25.744127,6.54377
1390,85.71894,51.84876,25.827738,6.5688806
1400,85.756775,51.947617,25.910854,6.5939393
1410,85.79408,52.045456,25.993473,6.6189456
1420,85.83099,52.142334,26.075632,6.6438947
1430,85.867424,52.23824,26.157246,6.668782
1440,85.90345,52.333183,26.238388,6.693601
1450,85.93899,52.427193,26.319029,6.7183537
1460,85.974106,52.52025,26.399162,6.74303
1470,86.00882,52.6124,26.47882,6.767631
1480,86.0431,52.70365,26.557953,6.7921505
1490,86.07698,52.794,26.636593,6.8165874
1500,86.11045,52.88344,26.714718,6.8409376
1510,86.14356,52.972027,26.792366,6.8651967
1520,86.17628,53.05977,26.869484,6.8893604
1530,86.20863,53.14666,26.946108,6.9134264
1540,86.24068,53.232697,27.022226,6.9374046
1550,86.27239,53.317917,27.097834,6.9612827
1560,86.30375,53.40233,27.17295,6.9850535
